n,r,m
"(:Character {id: Scamander, label: Scamander, type: Potamoi})",[:RELATED {type: spouse}],"(:Character {id: Idaea, label: Idaea, type: Greek nymph})"
"(:Character {id: Scamander, label: Scamander, type: Potamoi})",[:RELATED {type: father}],"(:Character {id: Zeus, label: Zeus, type: Greek deity})"
"(:Character {id: Scamander, label: Scamander, type: Potamoi})",[:RELATED {type: mother}],"(:Character {id: Doris, label: Doris, type: water deity})"
"(:Character {id: Scamander, label: Scamander, type: Potamoi})",[:RELATED {type: mother}],"(:Character {id: Tethys, label: Tethys, type: goddess})"
"(:Character {id: Eridanos, label: Eridanos, type: Potamoi})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: titan})"
"(:Character {id: Eridanos, label: Eridanos, type: Potamoi})",[:RELATED {type: mother}],"(:Character {id: Tethys, label: Tethys, type: titan})"
"(:Character {id: Eridanos, label: Eridanos, type: Potamoi})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: Greek water deities})"
"(:Character {id: Eridanos, label: Eridanos, type: Potamoi})",[:RELATED {type: mother}],"(:Character {id: Tethys, label: Tethys, type: goddess})"
"(:Character {id: Sangarius, label: Sangarius, type: Potamoi})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: titan})"
"(:Character {id: Sangarius, label: Sangarius, type: Potamoi})",[:RELATED {type: mother}],"(:Character {id: Tethys, label: Tethys, type: titan})"
"(:Character {id: Sangarius, label: Sangarius, type: Potamoi})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: Greek water deities})"
"(:Character {id: Sangarius, label: Sangarius, type: Potamoi})",[:RELATED {type: mother}],"(:Character {id: Tethys, label: Tethys, type: goddess})"
"(:Character {id: Peneus, label: Peneus, type: Potamoi})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: titan})"
"(:Character {id: Peneus, label: Peneus, type: Potamoi})",[:RELATED {type: mother}],"(:Character {id: Tethys, label: Tethys, type: titan})"
"(:Character {id: Peneus, label: Peneus, type: Potamoi})",[:RELATED {type: spouse}],"(:Character {id: Creusa, label: Creusa, type: naiad})"
"(:Character {id: Peneus, label: Peneus, type: Potamoi})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: Greek water deities})"
"(:Character {id: Peneus, label: Peneus, type: Potamoi})",[:RELATED {type: mother}],"(:Character {id: Tethys, label: Tethys, type: goddess})"
"(:Character {id: Cebren, label: Cebren, type: Potamoi})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: titan})"
"(:Character {id: Cebren, label: Cebren, type: Potamoi})",[:RELATED {type: mother}],"(:Character {id: Tethys, label: Tethys, type: titan})"
"(:Character {id: Cebren, label: Cebren, type: Potamoi})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: Greek water deities})"
"(:Character {id: Cebren, label: Cebren, type: Potamoi})",[:RELATED {type: mother}],"(:Character {id: Tethys, label: Tethys, type: goddess})"
"(:Character {id: Caicus, label: Caicus, type: Potamoi})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: titan})"
"(:Character {id: Caicus, label: Caicus, type: Potamoi})",[:RELATED {type: mother}],"(:Character {id: Tethys, label: Tethys, type: titan})"
"(:Character {id: Caicus, label: Caicus, type: Potamoi})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: Greek water deities})"
"(:Character {id: Caicus, label: Caicus, type: Potamoi})",[:RELATED {type: mother}],"(:Character {id: Tethys, label: Tethys, type: goddess})"
"(:Character {id: Clytie, label: Clytie, type: Okeanid})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: titan})"
"(:Character {id: Clytie, label: Clytie, type: Okeanid})",[:RELATED {type: mother}],"(:Character {id: Tethys, label: Tethys, type: titan})"
"(:Character {id: Clytie, label: Clytie, type: Okeanid})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: Greek water deities})"
"(:Character {id: Clytie, label: Clytie, type: Okeanid})",[:RELATED {type: mother}],"(:Character {id: Tethys, label: Tethys, type: goddess})"
"(:Character {id: Prymno, label: Prymno, type: Okeanid})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: titan})"
"(:Character {id: Prymno, label: Prymno, type: Okeanid})",[:RELATED {type: mother}],"(:Character {id: Tethys, label: Tethys, type: titan})"
"(:Character {id: Prymno, label: Prymno, type: Okeanid})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: Greek water deities})"
"(:Character {id: Prymno, label: Prymno, type: Okeanid})",[:RELATED {type: mother}],"(:Character {id: Tethys, label: Tethys, type: goddess})"
"(:Character {id: Callirhoe, label: Callirhoe, type: Okeanid})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: titan})"
"(:Character {id: Callirhoe, label: Callirhoe, type: Okeanid})",[:RELATED {type: mother}],"(:Character {id: Tethys, label: Tethys, type: titan})"
"(:Character {id: Callirhoe, label: Callirhoe, type: Okeanid})",[:RELATED {type: father}],"(:Character {id: Achelous, label: Achelous, type: Potamoi})"
"(:Character {id: Callirhoe, label: Callirhoe, type: Okeanid})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: Greek water deities})"
"(:Character {id: Callirhoe, label: Callirhoe, type: Okeanid})",[:RELATED {type: mother}],"(:Character {id: Tethys, label: Tethys, type: goddess})"
"(:Character {id: Creusa, label: Creusa, type: naiad})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: titan})"
"(:Character {id: Creusa, label: Creusa, type: naiad})",[:RELATED {type: mother}],"(:Character {id: Gaia, label: Gaia, type: Greek primordial deity})"
"(:Character {id: Creusa, label: Creusa, type: naiad})",[:RELATED {type: spouse}],"(:Character {id: Peneus, label: Peneus, type: Potamoi})"
"(:Character {id: Creusa, label: Creusa, type: naiad})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: Greek water deities})"
"(:Character {id: Creusa, label: Creusa, type: naiad})",[:RELATED {type: mother}],"(:Character {id: Gaia, label: Gaia, type: Roman deity})"
"(:Character {id: Lysithea, label: Lysithea, type: Okeanid})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: titan})"
"(:Character {id: Lysithea, label: Lysithea, type: Okeanid})",[:RELATED {type: mother}],"(:Character {id: Tethys, label: Tethys, type: titan})"
"(:Character {id: Lysithea, label: Lysithea, type: Okeanid})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: Greek water deities})"
"(:Character {id: Lysithea, label: Lysithea, type: Okeanid})",[:RELATED {type: mother}],"(:Character {id: Tethys, label: Tethys, type: goddess})"
"(:Character {id: Telesto, label: Telesto, type: Okeanid})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: titan})"
"(:Character {id: Telesto, label: Telesto, type: Okeanid})",[:RELATED {type: mother}],"(:Character {id: Tethys, label: Tethys, type: titan})"
"(:Character {id: Telesto, label: Telesto, type: Okeanid})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: Greek water deities})"
"(:Character {id: Telesto, label: Telesto, type: Okeanid})",[:RELATED {type: mother}],"(:Character {id: Tethys, label: Tethys, type: goddess})"
"(:Character {id: Perse, label: Perse, type: Okeanid})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: titan})"
"(:Character {id: Perse, label: Perse, type: Okeanid})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: Greek water deities})"
"(:Character {id: Electra, label: Electra, type: Okeanid})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: titan})"
"(:Character {id: Electra, label: Electra, type: Okeanid})",[:RELATED {type: mother}],"(:Character {id: Tethys, label: Tethys, type: titan})"
"(:Character {id: Electra, label: Electra, type: Okeanid})",[:RELATED {type: spouse}],"(:Character {id: Thaumas, label: Thaumas, type: Greek water deities})"
"(:Character {id: Electra, label: Electra, type: Okeanid})",[:RELATED {type: mother}],"(:Character {id: Pleione, label: Pleione, type: Okeanid})"
"(:Character {id: Electra, label: Electra, type: Okeanid})",[:RELATED {type: father}],"(:Character {id: Atlas, label: Atlas, type: titan})"
"(:Character {id: Electra, label: Electra, type: Okeanid})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: Greek water deities})"
"(:Character {id: Electra, label: Electra, type: Okeanid})",[:RELATED {type: mother}],"(:Character {id: Tethys, label: Tethys, type: goddess})"
"(:Character {id: Thoe, label: Thoe, type: Okeanid})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: titan})"
"(:Character {id: Thoe, label: Thoe, type: Okeanid})",[:RELATED {type: mother}],"(:Character {id: Tethys, label: Tethys, type: titan})"
"(:Character {id: Thoe, label: Thoe, type: Okeanid})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: Greek water deities})"
"(:Character {id: Thoe, label: Thoe, type: Okeanid})",[:RELATED {type: mother}],"(:Character {id: Tethys, label: Tethys, type: goddess})"
"(:Character {id: Hippo, label: Hippo, type: Okeanid})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: titan})"
"(:Character {id: Hippo, label: Hippo, type: Okeanid})",[:RELATED {type: mother}],"(:Character {id: Tethys, label: Tethys, type: titan})"
"(:Character {id: Hippo, label: Hippo, type: Okeanid})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: Greek water deities})"
"(:Character {id: Hippo, label: Hippo, type: Okeanid})",[:RELATED {type: mother}],"(:Character {id: Tethys, label: Tethys, type: goddess})"
"(:Character {id: Amphiro, label: Amphiro, type: Okeanid})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: titan})"
"(:Character {id: Amphiro, label: Amphiro, type: Okeanid})",[:RELATED {type: mother}],"(:Character {id: Tethys, label: Tethys, type: titan})"
"(:Character {id: Amphiro, label: Amphiro, type: Okeanid})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: Greek water deities})"
"(:Character {id: Amphiro, label: Amphiro, type: Okeanid})",[:RELATED {type: mother}],"(:Character {id: Tethys, label: Tethys, type: goddess})"
"(:Character {id: Eidyia, label: Eidyia, type: Okeanid})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: titan})"
"(:Character {id: Eidyia, label: Eidyia, type: Okeanid})",[:RELATED {type: mother}],"(:Character {id: Tethys, label: Tethys, type: titan})"
"(:Character {id: Eidyia, label: Eidyia, type: Okeanid})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: Greek water deities})"
"(:Character {id: Eidyia, label: Eidyia, type: Okeanid})",[:RELATED {type: mother}],"(:Character {id: Tethys, label: Tethys, type: goddess})"
"(:Character {id: Phaeno, label: Phaeno, type: Okeanid})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: titan})"
"(:Character {id: Phaeno, label: Phaeno, type: Okeanid})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: Greek water deities})"
"(:Character {id: Xanthe, label: Xanthe, type: deity})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: titan})"
"(:Character {id: Xanthe, label: Xanthe, type: deity})",[:RELATED {type: mother}],"(:Character {id: Tethys, label: Tethys, type: titan})"
"(:Character {id: Xanthe, label: Xanthe, type: deity})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: Greek water deities})"
"(:Character {id: Xanthe, label: Xanthe, type: deity})",[:RELATED {type: mother}],"(:Character {id: Tethys, label: Tethys, type: goddess})"
"(:Character {id: Meliboea, label: Meliboea, type: Okeanid})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: titan})"
"(:Character {id: Meliboea, label: Meliboea, type: Okeanid})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: Greek water deities})"
"(:Character {id: Pasithoe, label: Pasithoe, type: Okeanid})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: titan})"
"(:Character {id: Pasithoe, label: Pasithoe, type: Okeanid})",[:RELATED {type: mother}],"(:Character {id: Tethys, label: Tethys, type: titan})"
"(:Character {id: Pasithoe, label: Pasithoe, type: Okeanid})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: Greek water deities})"
"(:Character {id: Pasithoe, label: Pasithoe, type: Okeanid})",[:RELATED {type: mother}],"(:Character {id: Tethys, label: Tethys, type: goddess})"
"(:Character {id: Capheira, label: Capheira, type: Okeanid})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: titan})"
"(:Character {id: Capheira, label: Capheira, type: Okeanid})",[:RELATED {type: mother}],"(:Character {id: Tethys, label: Tethys, type: titan})"
"(:Character {id: Capheira, label: Capheira, type: Okeanid})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: Greek water deities})"
"(:Character {id: Capheira, label: Capheira, type: Okeanid})",[:RELATED {type: mother}],"(:Character {id: Tethys, label: Tethys, type: goddess})"
"(:Character {id: Galaxaura, label: Galaxaura, type: Okeanid})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: titan})"
"(:Character {id: Galaxaura, label: Galaxaura, type: Okeanid})",[:RELATED {type: mother}],"(:Character {id: Tethys, label: Tethys, type: titan})"
"(:Character {id: Galaxaura, label: Galaxaura, type: Okeanid})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: Greek water deities})"
"(:Character {id: Galaxaura, label: Galaxaura, type: Okeanid})",[:RELATED {type: mother}],"(:Character {id: Tethys, label: Tethys, type: goddess})"
"(:Character {id: Daeira, label: Daeira, type: Okeanid})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: titan})"
"(:Character {id: Daeira, label: Daeira, type: Okeanid})",[:RELATED {type: mother}],"(:Character {id: Tethys, label: Tethys, type: titan})"
"(:Character {id: Daeira, label: Daeira, type: Okeanid})",[:RELATED {type: spouse}],"(:Character {id: Hermes, label: Hermes, type: Olympian god})"
"(:Character {id: Daeira, label: Daeira, type: Okeanid})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: Greek water deities})"
"(:Character {id: Daeira, label: Daeira, type: Okeanid})",[:RELATED {type: mother}],"(:Character {id: Tethys, label: Tethys, type: goddess})"
"(:Character {id: Acaste, label: Acaste, type: Okeanid})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: titan})"
"(:Character {id: Acaste, label: Acaste, type: Okeanid})",[:RELATED {type: mother}],"(:Character {id: Tethys, label: Tethys, type: titan})"
"(:Character {id: Acaste, label: Acaste, type: Okeanid})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: Greek water deities})"
"(:Character {id: Acaste, label: Acaste, type: Okeanid})",[:RELATED {type: mother}],"(:Character {id: Tethys, label: Tethys, type: goddess})"
"(:Character {id: Admete, label: Admete, type: Okeanid})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: titan})"
"(:Character {id: Admete, label: Admete, type: Okeanid})",[:RELATED {type: mother}],"(:Character {id: Tethys, label: Tethys, type: titan})"
"(:Character {id: Admete, label: Admete, type: Okeanid})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: Greek water deities})"
"(:Character {id: Admete, label: Admete, type: Okeanid})",[:RELATED {type: mother}],"(:Character {id: Tethys, label: Tethys, type: goddess})"
"(:Character {id: Bolbe, label: Bolbe, type: naiad})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: titan})"
"(:Character {id: Bolbe, label: Bolbe, type: naiad})",[:RELATED {type: mother}],"(:Character {id: Tethys, label: Tethys, type: titan})"
"(:Character {id: Bolbe, label: Bolbe, type: naiad})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: Greek water deities})"
"(:Character {id: Bolbe, label: Bolbe, type: naiad})",[:RELATED {type: mother}],"(:Character {id: Tethys, label: Tethys, type: goddess})"
"(:Character {id: Thrace, label: Thrace, type: Okeanid})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: titan})"
"(:Character {id: Thrace, label: Thrace, type: Okeanid})",[:RELATED {type: mother}],"(:Character {id: Tethys, label: Tethys, type: titan})"
"(:Character {id: Thrace, label: Thrace, type: Okeanid})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: Greek water deities})"
"(:Character {id: Thrace, label: Thrace, type: Okeanid})",[:RELATED {type: mother}],"(:Character {id: Tethys, label: Tethys, type: goddess})"
"(:Character {id: Europa, label: Europa, type: Okeanid})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: titan})"
"(:Character {id: Europa, label: Europa, type: Okeanid})",[:RELATED {type: mother}],"(:Character {id: Tethys, label: Tethys, type: titan})"
"(:Character {id: Europa, label: Europa, type: Okeanid})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: Greek water deities})"
"(:Character {id: Europa, label: Europa, type: Okeanid})",[:RELATED {type: mother}],"(:Character {id: Tethys, label: Tethys, type: goddess})"
"(:Character {id: Evagore, label: Evagore, type: Okeanid})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: titan})"
"(:Character {id: Evagore, label: Evagore, type: Okeanid})",[:RELATED {type: mother}],"(:Character {id: Tethys, label: Tethys, type: titan})"
"(:Character {id: Evagore, label: Evagore, type: Okeanid})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: Greek water deities})"
"(:Character {id: Evagore, label: Evagore, type: Okeanid})",[:RELATED {type: mother}],"(:Character {id: Tethys, label: Tethys, type: goddess})"
"(:Character {id: Ephyra, label: Ephyra, type: Okeanid})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: titan})"
"(:Character {id: Ephyra, label: Ephyra, type: Okeanid})",[:RELATED {type: mother}],"(:Character {id: Tethys, label: Tethys, type: titan})"
"(:Character {id: Ephyra, label: Ephyra, type: Okeanid})",[:RELATED {type: father}],"(:Character {id: Nereus, label: Nereus, type: Greek water deities})"
"(:Character {id: Ephyra, label: Ephyra, type: Okeanid})",[:RELATED {type: mother}],"(:Character {id: Doris, label: Doris, type: Okeanid})"
"(:Character {id: Ephyra, label: Ephyra, type: Okeanid})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: Greek water deities})"
"(:Character {id: Ephyra, label: Ephyra, type: Okeanid})",[:RELATED {type: mother}],"(:Character {id: Doris, label: Doris, type: water deity})"
"(:Character {id: Ephyra, label: Ephyra, type: Okeanid})",[:RELATED {type: mother}],"(:Character {id: Tethys, label: Tethys, type: goddess})"
"(:Character {id: Camarina, label: Camarina, type: Okeanid})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: titan})"
"(:Character {id: Camarina, label: Camarina, type: Okeanid})",[:RELATED {type: mother}],"(:Character {id: Tethys, label: Tethys, type: titan})"
"(:Character {id: Camarina, label: Camarina, type: Okeanid})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: Greek water deities})"
"(:Character {id: Camarina, label: Camarina, type: Okeanid})",[:RELATED {type: mother}],"(:Character {id: Tethys, label: Tethys, type: goddess})"
"(:Character {id: Cerceis, label: Cerceis, type: Okeanid})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: titan})"
"(:Character {id: Cerceis, label: Cerceis, type: Okeanid})",[:RELATED {type: mother}],"(:Character {id: Tethys, label: Tethys, type: titan})"
"(:Character {id: Cerceis, label: Cerceis, type: Okeanid})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: Greek water deities})"
"(:Character {id: Cerceis, label: Cerceis, type: Okeanid})",[:RELATED {type: mother}],"(:Character {id: Tethys, label: Tethys, type: goddess})"
"(:Character {id: Plexaure, label: Plexaure, type: goddess})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: titan})"
"(:Character {id: Plexaure, label: Plexaure, type: goddess})",[:RELATED {type: mother}],"(:Character {id: Tethys, label: Tethys, type: titan})"
"(:Character {id: Plexaure, label: Plexaure, type: goddess})",[:RELATED {type: father}],"(:Character {id: Nereus, label: Nereus, type: Greek water deities})"
"(:Character {id: Plexaure, label: Plexaure, type: goddess})",[:RELATED {type: mother}],"(:Character {id: Doris, label: Doris, type: Okeanid})"
"(:Character {id: Plexaure, label: Plexaure, type: goddess})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: Greek water deities})"
"(:Character {id: Plexaure, label: Plexaure, type: goddess})",[:RELATED {type: mother}],"(:Character {id: Doris, label: Doris, type: water deity})"
"(:Character {id: Plexaure, label: Plexaure, type: goddess})",[:RELATED {type: mother}],"(:Character {id: Tethys, label: Tethys, type: goddess})"
"(:Character {id: Hydaspes, label: Hydaspes, type: Potamoi})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: titan})"
"(:Character {id: Hydaspes, label: Hydaspes, type: Potamoi})",[:RELATED {type: mother}],"(:Character {id: Tethys, label: Tethys, type: titan})"
"(:Character {id: Hydaspes, label: Hydaspes, type: Potamoi})",[:RELATED {type: father}],"(:Character {id: Thaumas, label: Thaumas, type: Greek water deities})"
"(:Character {id: Hydaspes, label: Hydaspes, type: Potamoi})",[:RELATED {type: mother}],"(:Character {id: Electra, label: Electra, type: Okeanid})"
"(:Character {id: Hydaspes, label: Hydaspes, type: Potamoi})",[:RELATED {type: spouse}],"(:Character {id: Astris, label: Astris, type: Greek nymph})"
"(:Character {id: Hydaspes, label: Hydaspes, type: Potamoi})",[:RELATED {type: mother}],"(:Character {id: Electra, label: Electra, type: Pleiades})"
"(:Character {id: Hydaspes, label: Hydaspes, type: Potamoi})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: Greek water deities})"
"(:Character {id: Hydaspes, label: Hydaspes, type: Potamoi})",[:RELATED {type: mother}],"(:Character {id: Tethys, label: Tethys, type: goddess})"
"(:Character {id: Hebrus, label: Hebrus, type: Potamoi})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: titan})"
"(:Character {id: Hebrus, label: Hebrus, type: Potamoi})",[:RELATED {type: mother}],"(:Character {id: Tethys, label: Tethys, type: titan})"
"(:Character {id: Hebrus, label: Hebrus, type: Potamoi})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: Greek water deities})"
"(:Character {id: Hebrus, label: Hebrus, type: Potamoi})",[:RELATED {type: mother}],"(:Character {id: Tethys, label: Tethys, type: goddess})"
"(:Character {id: Acheron, label: Acheron, type: Potamoi})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: titan})"
"(:Character {id: Acheron, label: Acheron, type: Potamoi})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: Greek water deities})"
"(:Character {id: Acheron, label: Acheron, type: Potamoi})",[:RELATED {type: spouse}],"(:Character {id: Orphne, label: Orphne, type: Greek nymph})"
"(:Character {id: Aegaeus, label: Aegaeus, type: Potamoi})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: titan})"
"(:Character {id: Aegaeus, label: Aegaeus, type: Potamoi})",[:RELATED {type: mother}],"(:Character {id: Tethys, label: Tethys, type: titan})"
"(:Character {id: Aegaeus, label: Aegaeus, type: Potamoi})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: Greek water deities})"
"(:Character {id: Aegaeus, label: Aegaeus, type: Potamoi})",[:RELATED {type: mother}],"(:Character {id: Tethys, label: Tethys, type: goddess})"
"(:Character {id: Aesar, label: Aesar, type: Potamoi})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: titan})"
"(:Character {id: Aesar, label: Aesar, type: Potamoi})",[:RELATED {type: mother}],"(:Character {id: Tethys, label: Tethys, type: titan})"
"(:Character {id: Aesar, label: Aesar, type: Potamoi})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: Greek water deities})"
"(:Character {id: Aesar, label: Aesar, type: Potamoi})",[:RELATED {type: mother}],"(:Character {id: Tethys, label: Tethys, type: goddess})"
"(:Character {id: Amnisus, label: Amnisus, type: Potamoi})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: titan})"
"(:Character {id: Amnisus, label: Amnisus, type: Potamoi})",[:RELATED {type: mother}],"(:Character {id: Tethys, label: Tethys, type: titan})"
"(:Character {id: Amnisus, label: Amnisus, type: Potamoi})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: Greek water deities})"
"(:Character {id: Amnisus, label: Amnisus, type: Potamoi})",[:RELATED {type: mother}],"(:Character {id: Tethys, label: Tethys, type: goddess})"
"(:Character {id: Anaurus, label: Anaurus, type: Potamoi})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: titan})"
"(:Character {id: Anaurus, label: Anaurus, type: Potamoi})",[:RELATED {type: mother}],"(:Character {id: Tethys, label: Tethys, type: titan})"
"(:Character {id: Anaurus, label: Anaurus, type: Potamoi})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: Greek water deities})"
"(:Character {id: Anaurus, label: Anaurus, type: Potamoi})",[:RELATED {type: mother}],"(:Character {id: Tethys, label: Tethys, type: goddess})"
"(:Character {id: Anigrus, label: Anigrus, type: Potamoi})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: titan})"
"(:Character {id: Anigrus, label: Anigrus, type: Potamoi})",[:RELATED {type: mother}],"(:Character {id: Tethys, label: Tethys, type: titan})"
"(:Character {id: Anigrus, label: Anigrus, type: Potamoi})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: Greek water deities})"
"(:Character {id: Anigrus, label: Anigrus, type: Potamoi})",[:RELATED {type: mother}],"(:Character {id: Tethys, label: Tethys, type: goddess})"
"(:Character {id: Ascanius, label: Ascanius, type: Potamoi})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: titan})"
"(:Character {id: Ascanius, label: Ascanius, type: Potamoi})",[:RELATED {type: mother}],"(:Character {id: Tethys, label: Tethys, type: titan})"
"(:Character {id: Ascanius, label: Ascanius, type: Potamoi})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: Greek water deities})"
"(:Character {id: Ascanius, label: Ascanius, type: Potamoi})",[:RELATED {type: mother}],"(:Character {id: Tethys, label: Tethys, type: goddess})"
"(:Character {id: Baphyras, label: Baphyras, type: Potamoi})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: titan})"
"(:Character {id: Baphyras, label: Baphyras, type: Potamoi})",[:RELATED {type: mother}],"(:Character {id: Tethys, label: Tethys, type: titan})"
"(:Character {id: Baphyras, label: Baphyras, type: Potamoi})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: Greek water deities})"
"(:Character {id: Baphyras, label: Baphyras, type: Potamoi})",[:RELATED {type: mother}],"(:Character {id: Tethys, label: Tethys, type: goddess})"
"(:Character {id: Brychon, label: Brychon, type: Potamoi})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: titan})"
"(:Character {id: Brychon, label: Brychon, type: Potamoi})",[:RELATED {type: mother}],"(:Character {id: Tethys, label: Tethys, type: titan})"
"(:Character {id: Brychon, label: Brychon, type: Potamoi})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: Greek water deities})"
"(:Character {id: Brychon, label: Brychon, type: Potamoi})",[:RELATED {type: mother}],"(:Character {id: Tethys, label: Tethys, type: goddess})"
"(:Character {id: Elisson, label: Elisson, type: Potamoi})",[:RELATED {type: father}],"(:Character {id: Oceanus, label: Oceanus, type: titan})"
